City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Kalaiya,NP,2021-10-01 01:37:30,27.0327,85.0022,78.15,83,100,7.36
269,Namibe,AO,2021-10-01 01:37:30,-15.1961,12.1522,59.65,85,17,3.71
270,Bull Savanna,JM,2021-10-01 01:37:30,17.8868,-77.5902,78.06,77,1,1.32
271,Merauke,ID,2021-10-01 01:37:31,-8.4667,140.3333,82.11,78,73,13.0
272,Talara,PE,2021-10-01 01:37:31,-4.5772,-81.2719,64.8,86,48,13.8
273,Fasa,IR,2021-10-01 01:37:32,28.9383,53.6482,61.84,31,0,0.0
274,Deputatskiy,RU,2021-10-01 01:37:32,69.3,139.9,18.68,63,86,3.69
275,Kugulta,RU,2021-10-01 01:37:32,45.3636,42.3889,41.58,53,31,15.64
276,Smithers,CA,2021-10-01 01:37:33,54.7804,-127.1743,50.32,81,75,3.44
277,Hargeysa,SO,2021-10-01 01:37:33,9.56,44.065,71.98,63,100,17.43
278,Sokoto,NG,2021-10-01 01:37:33,13.0609,5.239,79.47,66,9,4.99
279,Murgab,TM,2021-10-01 01:37:34,37.4966,61.9714,53.47,58,0,6.91
280,Arenapolis,BR,2021-10-01 01:37:34,-14.4503,-56.8461,84.92,47,53,5.21
281,Codrington,AU,2021-10-01 01:37:34,-38.2667,141.9667,58.03,96,80,19.08
282,Duldurga,RU,2021-10-01 01:37:35,50.6761,113.5931,39.47,50,11,7.0
283,Barra,BR,2021-10-01 01:34:18,-11.0894,-43.1417,79.99,48,50,5.32
284,Presidencia Roque Saenz Pena,AR,2021-10-01 01:37:35,-26.7852,-60.4388,80.76,62,47,13.33
285,Snezhnogorsk,RU,2021-10-01 01:37:36,69.1933,33.2531,40.78,81,62,7.81
286,Alice Springs,AU,2021-10-01 01:37:36,-23.7,133.8833,76.55,16,0,9.22
287,Inuvik,CA,2021-10-01 01:37:36,68.3499,-133.7218,31.06,69,20,6.91
288,Yerbogachen,RU,2021-10-01 01:37:37,61.2767,108.0108,37.2,66,20,5.73
289,Vallenar,CL,2021-10-01 01:37:37,-28.5708,-70.7581,63.63,34,0,1.03
