City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Havoysund,NO,70.9963,24.6622,50.88,74,100,32.48,overcast clouds
175,Sambava,MG,-14.2667,50.1667,71.6,88,22,7.78,light rain
176,Baoqing,CN,46.3317,132.2111,44.38,92,100,7.0,overcast clouds
177,Lebu,CL,-37.6167,-73.65,52.74,70,1,22.24,clear sky
178,Pimenta Bueno,BR,-11.6725,-61.1936,97.32,31,90,6.15,overcast clouds
179,Fushun,CN,41.8558,123.9233,58.71,86,100,8.05,overcast clouds
180,Golyshmanovo,RU,56.3979,68.3728,30.07,92,93,10.69,overcast clouds
181,Mayo,US,38.8876,-76.5119,89.08,71,44,5.01,scattered clouds
182,Oktyabrskoye,RU,43.0645,44.7417,48.34,93,100,2.24,overcast clouds
183,Provideniya,RU,64.3833,-173.3,26.19,80,53,2.57,broken clouds
184,Narsaq,GL,60.9167,-46.05,44.82,57,0,6.17,clear sky
185,Kruisfontein,ZA,-34.0033,24.7314,54.88,72,94,6.13,overcast clouds
186,Halifax,CA,44.6453,-63.5724,62.65,66,99,1.99,overcast clouds
187,Ajdabiya,LY,30.7554,20.2263,73.42,56,0,9.17,clear sky
188,Victoria,HK,22.2855,114.1577,85.32,78,86,3.0,light rain
189,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,11.5,light rain
190,Sao Luis Do Quitunde,BR,-9.3183,-35.5611,85.44,74,19,9.37,few clouds
191,Mar Del Plata,AR,-38.0023,-57.5575,55.42,50,0,20.0,clear sky
192,Swellendam,ZA,-34.0226,20.4417,46.78,84,83,3.15,light rain
193,Pingshan,CN,22.9938,114.7131,74.08,90,0,3.6,light rain
194,Port Lincoln,AU,-34.7333,135.8667,52.25,67,76,25.84,broken clouds
195,Muisne,EC,0.6,-80.0333,86.11,76,69,12.21,broken clouds
196,Kodiak,US,57.79,-152.4072,40.51,52,1,9.22,clear sky
197,Aswan,EG,24.0934,32.907,87.1,28,0,9.22,clear sky
198,Huambo,AO,-12.7761,15.7392,72.86,30,79,5.64,broken clouds
199,Merritt Island,US,28.5392,-80.672,90.99,50,1,8.05,clear sky
200,Sao Filipe,CV,14.8961,-24.4956,80.38,76,100,7.02,overcast clouds
201,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,69,20,23.02,few clouds
202,Luanda,AO,-8.8368,13.2343,75.2,78,40,10.36,scattered clouds
203,Quelimane,MZ,-17.8786,36.8883,78.75,78,0,18.41,clear sky
204,Marsaxlokk,MT,35.8419,14.5431,74.08,78,20,3.44,few clouds
205,Wewak,PG,-3.5534,143.6268,77.61,86,17,4.72,few clouds
206,Tual,ID,-5.6667,132.75,80.73,66,100,6.64,overcast clouds
207,Dondukovskaya,RU,44.8819,40.3627,55.83,64,100,17.47,light rain
208,Solwezi,ZM,-12.1688,26.3894,66.07,80,100,3.6,light rain
209,Paamiut,GL,61.994,-49.6678,39.99,72,0,8.34,clear sky
210,Avera,US,33.194,-82.5271,85.71,41,80,4.54,broken clouds
211,Lubyany,RU,56.0378,51.4,44.24,85,100,5.55,overcast clouds
212,Kudahuvadhoo,MV,2.6708,72.8944,83.34,74,6,15.52,clear sky
213,Lisakovsk,KZ,52.5369,62.4936,35.78,78,58,12.3,broken clouds
214,Half Moon Bay,US,37.4636,-122.4286,91.58,56,1,0.0,clear sky
215,Wanning,CN,18.8003,110.3967,79.43,85,64,4.88,broken clouds
216,Bathsheba,BB,13.2167,-59.5167,90.21,58,20,23.02,few clouds
217,Lichtenburg,ZA,-26.152,26.1597,55.69,23,0,7.92,clear sky
218,Coahuayana,MX,18.7333,-103.6833,89.08,56,100,6.02,overcast clouds
219,Batagay,RU,67.6333,134.6333,23.4,89,96,2.64,overcast clouds
220,Roald,NO,62.5833,6.1333,59.92,62,0,3.44,clear sky
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,58,90,3.44,overcast clouds
222,Yulara,AU,-25.2406,130.9889,55.24,38,0,6.91,clear sky
223,Talnakh,RU,69.4865,88.3972,17.92,96,99,1.34,overcast clouds
224,Goianesia,BR,-15.3175,-49.1175,92.5,31,72,3.47,broken clouds
225,Bengkulu,ID,-3.8004,102.2655,75.13,91,100,3.65,overcast clouds
226,Sechura,PE,-5.5569,-80.8222,77.88,53,21,14.41,few clouds
227,Imeni Poliny Osipenko,RU,52.4201,136.4853,32.07,75,8,4.68,clear sky
228,Limon,CR,10.0,-83.0333,85.89,70,0,4.61,clear sky
229,Ostrovnoy,RU,68.0531,39.5131,44.51,87,21,20.83,few clouds
